Predictor,Support_1
BELONG,75
PERCOMP,64
ST207Q01HA,62
ST207Q02HA,58
EMOSUPS,58
ST004D01T,57
PERCOOP,46
DISCLIMA,46
GFOFAIL,43
ST207Q05HA,42
ST207Q03HA,38
ST206Q01HA,38
ST207Q04HA,37
SWBP,21
PV1READ,11
ST185Q01HA,7
SCREADDIFF,7
COMPETE,6
GRADE,5
ST184Q01HA,5
RESILIENCE,4
ATTLNACT,4
METASUM,4
JOYREAD,4
REPEAT,4
PV1MATH,3
MASTGOAL,3
RATCMP2,3
DURECEC,2
TEACHINT,2
PV1SCIE,2
WORKMAST,1
SCREADCOMP,1
METASPAM,1
EDUSHORT,1
TEACHSUP,1
BSMJ,1
UNDREM,1
AGE,1
EUDMO,1
