Predictor,Support_1
BELONG,76
ST004D01T,71
DISCLIMA,61
EMOSUPS,58
GFOFAIL,49
PERCOMP,47
ST207Q02HA,44
ST207Q03HA,43
ST207Q01HA,42
ST207Q04HA,41
PV1READ,39
ST207Q05HA,30
SWBP,29
ST206Q01HA,28
PERCOOP,24
SCREADDIFF,17
REPEAT,9
PV1MATH,8
ATTLNACT,6
GRADE,6
ST185Q01HA,5
TEACHSUP,4
JOYREAD,3
EUDMO,3
SCREADCOMP,2
PV1SCIE,2
RESILIENCE,2
COMPETE,2
ST184Q01HA,2
EDUSHORT,2
WORKMAST,2
DIRINS,1
METASUM,1
RATCMP2,1
