,SumWeight
BELONG,624.2
PERCOMP,387.8
ST207Q01HA,328.1
ST004D01T,309.90000000000003
EMOSUPS,285.50000000000006
ST207Q02HA,279.50000000000006
PERCOOP,232.2
ST207Q05HA,207.7
ST206Q01HA,179.0
DISCLIMA,178.10000000000002
ST207Q03HA,163.2
GFOFAIL,123.39999999999999
ST207Q04HA,111.3
SWBP,70.09999999999997
PV1READ,41.7
GRADE,32.300000000000004
SCREADDIFF,29.0
ST185Q01HA,28.200000000000003
COMPETE,25.300000000000004
ATTLNACT,24.400000000000002
REPEAT,21.5
JOYREAD,20.400000000000002
RATCMP2,17.399999999999995
ST184Q01HA,16.3
RESILIENCE,15.299999999999999
METASUM,13.499999999999998
UNDREM,12.599999999999998
MASTGOAL,12.499999999999996
PV1MATH,10.499999999999998
TEACHSUP,9.599999999999998
BSMJ,9.599999999999998
DURECEC,9.499999999999998
AGE,8.599999999999998
TEACHINT,7.6
EDUSHORT,6.699999999999998
EUDMO,6.699999999999998
PV1SCIE,6.699999999999998
METASPAM,6.699999999999998
SCREADCOMP,6.699999999999998
WORKMAST,6.699999999999998
