,SumWeight
BELONG,50.0
ST004D01T,33.1
PV1READ,24.200000000000003
PERCOMP,16.2
GRADE,16.2
DISCLIMA,16.1
EMOSUPS,15.299999999999999
ST207Q03HA,12.2
GFOFAIL,12.2
REPEAT,8.4
SWBP,8.399999999999999
ST207Q01HA,8.399999999999999
ST207Q04HA,8.3
PERCOOP,8.299999999999999
ST207Q02HA,6.3999999999999995
ST207Q05HA,6.399999999999999
PV1MATH,6.299999999999999
ST185Q01HA,5.399999999999999
ST206Q01HA,5.399999999999999
ADAPTIVITY,4.399999999999999
TEACHINT,3.4000000000000004
TEACHSUP,3.3000000000000003
BSMJ,1.4000000000000004
ST184Q01HA,1.4000000000000004
PV1SCIE,1.4000000000000001
METASUM,0.5
ATTLNACT,0.5
SCREADDIFF,0.5
SCREADCOMP,0.5
UNDREM,0.5
WORKMAST,0.5
