Country1,Country2,Footrule
AUS,CHE,94.0
AUS,CHL,96.0
AUS,COL,104.0
AUS,CRI,98.0
AUS,CZE,104.0
AUS,DEU,136.0
AUS,DNK,136.0
AUS,DOM,116.0
AUS,ESP,146.0
AUS,EST,88.0
AUS,FIN,178.0
AUS,FRA,140.0
AUS,GBR,106.0
AUS,GEO,70.0
AUS,GRC,106.0
AUS,HKG,96.0
AUS,HRV,174.0
AUS,HUN,128.0
AUS,IDN,170.0
AUS,IRL,130.0
AUS,ISL,142.0
AUS,ITA,104.0
AUS,JOR,194.0
AUS,JPN,184.0
AUS,KAZ,82.0
AUS,KOR,212.0
AUS,KSV,186.0
AUS,LTU,138.0
AUS,LUX,140.0
AUS,LVA,132.0
AUS,MAC,162.0
AUS,MAR,130.0
AUS,MDA,132.0
AUS,MEX,104.0
AUS,MLT,130.0
AUS,MNE,162.0
AUS,MYS,134.0
AUS,NLD,128.0
AUS,NOR,130.0
AUS,NZL,64.0
AUS,PAN,138.0
AUS,PER,106.0
AUS,PHL,170.0
AUS,POL,108.0
AUS,PRT,162.0
AUS,QAT,136.0
AUS,QAZ,124.0
AUS,QCI,136.0
AUS,QMR,136.0
AUS,QRT,84.0
AUS,ROU,76.0
AUS,RUS,112.0
AUS,SAU,134.0
AUS,SGP,122.0
AUS,SRB,128.0
AUS,SVK,124.0
AUS,SVN,130.0
AUS,SWE,154.0
AUS,TAP,156.0
AUS,THA,146.0
AUS,TUR,110.0
AUS,UKR,104.0
AUS,URY,160.0
AUS,USA,184.0
AUS,VNM,166.0
AUT,BEL,174.0
AUT,BGR,104.0
AUT,BIH,136.0
AUT,BLR,126.0
AUT,BRA,116.0
AUT,BRN,78.0
AUT,CAN,160.0
AUT,CHE,122.0
AUT,CHL,96.0
AUT,COL,92.0
AUT,CRI,106.0
AUT,CZE,148.0
AUT,DEU,124.0
AUT,DNK,106.0
AUT,DOM,132.0
AUT,ESP,96.0
AUT,EST,136.0
AUT,FIN,194.0
AUT,FRA,108.0
AUT,GBR,140.0
AUT,GEO,128.0
AUT,GRC,160.0
AUT,HKG,152.0
AUT,HRV,154.0
AUT,HUN,122.0
AUT,IDN,188.0
AUT,IRL,76.0
AUT,ISL,100.0
AUT,ITA,126.0
AUT,JOR,154.0
AUT,JPN,194.0
AUT,KAZ,126.0
AUT,KOR,192.0
AUT,KSV,150.0
AUT,LTU,138.0
AUT,LUX,182.0
AUT,LVA,168.0
AUT,MAC,174.0
AUT,MAR,124.0
AUT,MDA,94.0
AUT,MEX,74.0
AUT,MLT,120.0
AUT,MNE,106.0
AUT,MYS,160.0
AUT,NLD,132.0
AUT,NOR,150.0
AUT,NZL,98.0
AUT,PAN,132.0
AUT,PER,60.0
AUT,PHL,172.0
AUT,POL,96.0
AUT,PRT,110.0
AUT,QAT,210.0
AUT,QAZ,102.0
AUT,QCI,128.0
AUT,QMR,184.0
AUT,QRT,128.0
AUT,ROU,150.0
AUT,RUS,114.0
AUT,SAU,124.0
AUT,SGP,162.0
AUT,SRB,72.0
AUT,SVK,108.0
AUT,SVN,130.0
AUT,SWE,194.0
AUT,TAP,124.0
AUT,THA,172.0
AUT,TUR,108.0
AUT,UKR,90.0
AUT,URY,156.0
AUT,USA,170.0
AUT,VNM,166.0
BEL,BGR,140.0
BEL,BIH,154.0
BEL,BLR,112.0
BEL,BRA,112.0
BEL,BRN,174.0
BEL,CAN,164.0
BEL,CHE,142.0
BEL,CHL,162.0
BEL,COL,162.0
BEL,CRI,106.0
BEL,CZE,182.0
BEL,DEU,142.0
BEL,DNK,170.0
BEL,DOM,114.0
BEL,ESP,138.0
BEL,EST,148.0
BEL,FIN,154.0
BEL,FRA,120.0
BEL,GBR,158.0
BEL,GEO,158.0
BEL,GRC,106.0
BEL,HKG,144.0
BEL,HRV,132.0
BEL,HUN,156.0
BEL,IDN,192.0
BEL,IRL,160.0
BEL,ISL,166.0
BEL,ITA,140.0
BEL,JOR,132.0
BEL,JPN,168.0
BEL,KAZ,136.0
BEL,KOR,180.0
BEL,KSV,142.0
BEL,LTU,142.0
BEL,LUX,166.0
BEL,LVA,124.0
BEL,MAC,186.0
BEL,MAR,126.0
BEL,MDA,146.0
BEL,MEX,160.0
BEL,MLT,194.0
BEL,MNE,188.0
BEL,MYS,164.0
BEL,NLD,102.0
BEL,NOR,222.0
BEL,NZL,170.0
BEL,PAN,144.0
BEL,PER,146.0
BEL,PHL,98.0
BEL,POL,136.0
BEL,PRT,146.0
BEL,QAT,162.0
BEL,QAZ,134.0
BEL,QCI,160.0
BEL,QMR,194.0
BEL,QRT,144.0
BEL,ROU,168.0
BEL,RUS,154.0
BEL,SAU,150.0
BEL,SGP,190.0
BEL,SRB,132.0
BEL,SVK,160.0
BEL,SVN,158.0
BEL,SWE,152.0
BEL,TAP,190.0
BEL,THA,86.0
BEL,TUR,138.0
BEL,UKR,164.0
BEL,URY,80.0
BEL,USA,162.0
BEL,VNM,138.0
BGR,BIH,70.0
BGR,BLR,96.0
BGR,BRA,42.0
BGR,BRN,90.0
BGR,CAN,134.0
BGR,CHE,44.0
BGR,CHL,46.0
BGR,COL,62.0
BGR,CRI,94.0
BGR,CZE,102.0
BGR,DEU,62.0
BGR,DNK,108.0
BGR,DOM,86.0
BGR,ESP,94.0
BGR,EST,102.0
BGR,FIN,142.0
BGR,FRA,52.0
BGR,GBR,142.0
BGR,GEO,94.0
BGR,GRC,76.0
BGR,HKG,102.0
BGR,HRV,84.0
BGR,HUN,60.0
BGR,IDN,190.0
BGR,IRL,130.0
BGR,ISL,126.0
BGR,ITA,52.0
BGR,JOR,112.0
BGR,JPN,186.0
BGR,KAZ,84.0
BGR,KOR,208.0
BGR,KSV,100.0
BGR,LTU,118.0
BGR,LUX,132.0
BGR,LVA,132.0
BGR,MAC,186.0
BGR,MAR,50.0
BGR,MDA,88.0
BGR,MEX,68.0
BGR,MLT,132.0
