,AGE,ATTLNACT,BELONG,BSMJ,COMPETE,DISCLIMA,DURECEC,EDUSHORT,EMOSUPS,EUDMO,GFOFAIL,GRADE,JOYREAD,MASTGOAL,METASPAM,METASUM,PERCOMP,PERCOOP,PV1MATH,PV1READ,PV1SCIE,RATCMP2,REPEAT,RESILIENCE,SCREADCOMP,SCREADDIFF,ST004D01T,ST184Q01HA,ST185Q01HA,ST206Q01HA,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,ST207Q05HA,SWBP,TEACHINT,TEACHSUP,UNDREM,WORKMAST
DNK,25,25,1,25,25,25,25,25,9,25,25,25,25,25,25,25,5,8,25,25,25,25,25,25,25,25,2,25,25,10,3,6,7,25,25,4,25,25,25,25
DOM,25,25,4,25,25,25,25,25,10,25,25,25,25,25,25,25,2,1,25,25,25,25,25,25,25,25,25,25,25,6,9,8,7,5,3,25,25,25,25,25
ESP,25,25,1,25,25,25,25,25,4,25,8,25,25,25,25,25,2,10,25,25,25,25,25,25,25,25,9,25,25,3,5,7,6,25,25,25,25,25,25,25
EST,25,25,1,25,6,7,25,25,4,25,8,25,25,25,25,25,2,25,25,25,25,25,25,25,25,25,3,25,25,25,9,5,25,25,25,25,10,25,25,25
FIN,25,25,1,25,25,25,25,25,25,25,4,25,25,25,25,25,25,9,25,25,25,25,25,25,25,25,3,25,8,25,2,10,7,25,5,6,25,25,25,25
FRA,25,25,2,25,25,25,25,25,25,25,9,25,25,25,25,25,6,8,25,25,25,25,25,25,25,25,25,25,10,25,3,1,7,5,4,25,25,25,25,25
GBR,25,25,1,25,25,6,25,25,25,25,5,25,25,25,25,25,10,25,25,25,25,25,25,25,25,25,3,25,4,25,8,2,25,9,7,25,25,25,25,25
GEO,25,7,1,25,25,10,25,25,25,25,9,25,25,6,25,25,3,5,25,25,25,25,25,25,25,25,25,25,4,25,25,2,25,8,25,25,25,25,25,25
GRC,25,25,1,25,25,25,25,25,8,25,10,25,25,25,25,25,5,9,25,25,25,25,25,25,25,25,2,25,25,7,3,25,6,25,4,25,25,25,25,25
HKG,25,25,3,25,25,5,25,25,4,25,6,25,25,25,25,10,25,25,25,25,25,25,25,25,25,25,1,25,2,25,25,8,25,25,25,9,25,25,25,7
HRV,25,25,1,25,25,25,25,25,5,25,25,8,25,25,25,25,2,25,25,25,25,25,25,25,25,25,6,25,25,25,4,7,10,25,3,9,25,25,25,25
HUN,25,25,1,25,25,10,25,25,7,25,9,25,25,25,25,25,3,25,25,8,25,25,25,25,25,25,2,25,25,5,4,6,25,25,25,25,25,25,25,25
IDN,25,25,1,25,25,3,25,25,25,25,25,5,25,25,25,25,8,25,25,25,25,25,25,10,25,25,4,9,25,25,2,7,6,25,25,25,25,25,25,25
IRL,25,25,1,25,25,25,25,25,10,25,5,25,25,25,25,25,9,7,25,25,25,25,25,25,25,25,4,25,25,2,3,6,25,8,25,25,25,25,25,25
ISL,25,25,3,25,25,25,25,25,25,25,10,25,25,25,25,25,8,25,25,25,25,25,25,25,25,25,25,25,7,9,6,4,1,25,5,2,25,25,25,25
ITA,25,25,1,25,25,25,25,25,2,25,25,25,25,25,25,8,3,9,25,25,25,25,25,25,25,25,10,25,25,25,6,4,7,25,5,25,25,25,25,25
JOR,25,25,1,25,25,25,25,25,4,25,3,25,25,25,25,25,8,25,25,5,25,25,25,25,25,6,2,25,25,25,7,10,9,25,25,25,25,25,25,25
JPN,25,25,1,25,25,3,25,25,7,25,4,25,5,25,10,25,9,25,8,25,25,25,25,25,6,25,2,25,25,25,25,25,25,25,25,25,25,25,25,25
KAZ,25,25,1,25,25,25,25,25,5,25,25,25,25,25,25,25,2,6,25,8,25,25,25,25,25,25,3,25,25,25,4,25,9,10,7,25,25,25,25,25
KOR,25,25,2,25,25,3,25,25,25,25,9,7,25,25,25,10,25,25,25,25,8,25,25,25,25,25,1,25,25,25,25,6,25,5,4,25,25,25,25,25
KSV,25,5,1,25,25,25,25,25,4,25,25,25,6,25,25,25,9,25,25,25,25,25,25,25,25,25,2,7,25,25,8,10,3,25,25,25,25,25,25,25
LTU,25,25,1,25,25,9,25,25,3,25,25,25,25,25,25,25,2,4,25,10,25,25,25,25,25,25,8,25,25,7,5,6,25,25,25,25,25,25,25,25
LUX,25,10,1,25,25,3,25,25,25,25,7,25,25,25,25,25,2,25,25,25,25,25,9,25,25,25,5,25,25,25,4,25,8,25,25,6,25,25,25,25
LVA,25,25,1,25,25,9,25,25,7,25,25,25,25,10,25,25,5,25,25,25,25,25,25,25,25,25,25,25,25,25,3,4,2,6,25,8,25,25,25,25
MAC,25,25,1,25,25,3,25,4,25,25,7,25,25,25,25,25,25,25,25,6,8,25,10,25,25,25,2,25,25,5,9,25,25,25,25,25,25,25,25,25
MAR,25,25,6,25,25,25,25,25,5,25,25,25,25,25,25,25,3,2,25,10,25,25,25,25,25,25,25,25,25,1,7,4,8,9,25,25,25,25,25,25
MDA,25,25,1,25,25,5,25,25,8,25,25,25,25,25,25,25,25,4,25,25,25,25,25,25,25,25,25,25,25,2,9,10,25,7,3,6,25,25,25,25
MEX,25,25,1,25,25,10,25,25,2,25,9,25,25,25,25,25,3,4,25,25,25,25,25,25,25,7,25,25,25,25,25,5,6,25,8,25,25,25,25,25
MLT,25,25,1,25,25,6,25,25,7,25,25,25,25,25,25,25,8,25,25,25,25,25,25,25,25,25,2,25,25,9,4,25,10,3,5,25,25,25,25,25
MNE,25,25,1,25,25,10,25,25,3,25,9,25,25,25,25,25,7,25,25,25,25,25,25,25,25,4,5,25,25,25,25,25,25,8,2,6,25,25,25,25
MYS,25,25,2,25,25,4,25,25,25,25,9,25,25,25,25,25,7,5,25,25,25,25,25,25,25,25,1,25,25,10,6,3,25,25,8,25,25,25,25,25
NLD,25,25,1,25,8,5,25,25,10,25,6,25,25,7,25,25,9,25,25,25,25,25,25,25,25,25,4,3,25,25,25,2,25,25,25,25,25,25,25,25
NOR,25,25,1,25,4,2,9,25,6,25,25,25,25,25,25,25,7,25,25,25,25,25,25,25,25,25,3,25,25,5,25,25,25,10,25,25,25,8,25,25
NZL,25,25,1,25,25,10,25,25,25,25,25,25,25,25,25,25,3,6,25,25,25,25,25,25,25,25,5,25,25,9,25,2,8,7,4,25,25,25,25,25
PAN,25,25,5,25,25,25,25,25,3,25,10,25,25,25,25,25,1,2,25,25,25,25,25,25,25,25,25,25,25,4,8,9,25,6,7,25,25,25,25,25
PER,25,25,2,25,25,25,25,25,3,25,9,25,25,25,25,25,5,1,25,25,25,25,25,25,25,25,25,25,25,6,25,4,7,8,25,10,25,25,25,25
PHL,25,25,25,25,25,25,25,25,1,25,25,25,25,25,25,25,2,5,25,3,25,25,25,7,25,8,9,25,25,25,25,4,6,25,10,25,25,25,25,25
POL,25,25,1,25,25,3,10,25,8,25,25,25,25,25,25,25,7,25,25,9,25,25,25,25,25,25,2,25,25,25,5,25,6,25,25,4,25,25,25,25
PRT,25,25,1,25,25,25,25,25,4,25,8,25,25,25,25,7,3,9,25,25,25,25,2,25,25,25,25,25,25,5,25,6,25,25,25,10,25,25,25,25
QAT,25,25,1,25,25,25,25,25,25,25,4,25,25,25,25,25,5,25,25,25,25,9,25,25,25,25,2,25,25,25,3,6,25,8,7,10,25,25,25,25
QAZ,25,25,2,25,25,25,25,25,3,25,8,25,25,25,25,25,1,4,25,25,25,25,25,25,25,9,5,25,25,25,6,7,10,25,25,25,25,25,25,25
QCI,25,25,1,25,25,3,25,25,25,25,25,25,25,25,25,25,6,4,25,25,25,25,25,25,25,25,2,25,25,9,7,5,25,25,8,10,25,25,25,25
QMR,25,25,1,8,25,6,25,25,10,25,4,25,25,25,25,25,7,25,25,25,25,25,25,25,25,25,25,25,25,25,2,3,25,9,25,25,25,25,5,25
QRT,25,25,1,25,25,25,25,25,5,25,3,25,9,25,25,25,4,25,25,25,25,25,25,25,25,25,8,25,25,25,6,7,2,25,10,25,25,25,25,25
ROU,25,25,1,25,25,2,25,25,7,25,8,25,25,25,25,25,9,6,25,10,25,25,25,25,25,25,3,25,25,25,5,25,25,25,4,25,25,25,25,25
RUS,25,25,1,25,25,7,25,25,6,25,3,25,25,25,25,25,4,10,25,25,25,25,25,9,25,25,8,25,25,25,2,5,25,25,25,25,25,25,25,25
SAU,25,25,3,25,25,7,25,25,5,25,8,25,25,25,25,25,25,10,25,25,25,25,25,25,25,25,1,25,25,6,2,4,25,9,25,25,25,25,25,25
SGP,25,25,2,25,7,3,25,25,6,25,25,25,25,25,25,25,25,8,25,25,25,25,25,9,25,10,1,25,25,25,5,4,25,25,25,25,25,25,25,25
SRB,25,25,1,25,25,25,25,25,2,25,6,25,25,25,25,25,3,8,25,25,25,25,25,25,25,25,10,25,25,4,7,25,5,25,9,25,25,25,25,25
SVK,25,25,1,25,25,7,25,25,5,25,8,2,25,25,25,25,6,25,25,25,25,25,25,25,25,25,25,10,25,25,4,3,9,25,25,25,25,25,25,25
SVN,25,25,1,25,25,25,25,25,6,25,25,25,25,25,25,25,2,7,25,25,25,25,25,25,25,25,3,25,25,8,4,10,25,9,5,25,25,25,25,25
SWE,25,25,1,25,8,4,25,25,25,25,5,25,25,25,25,25,3,9,25,25,25,25,25,25,25,25,6,25,25,25,2,25,25,25,10,7,25,25,25,25
TAP,9,25,1,25,25,5,25,25,7,25,25,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,10,8,6,25,25,4,25,25,25,25,25
THA,25,25,1,25,25,10,25,25,25,25,25,25,25,25,25,25,6,25,9,2,25,25,25,25,25,25,3,25,25,25,4,8,7,25,5,25,25,25,25,25
TUR,25,25,1,25,25,7,25,25,10,25,8,25,25,25,25,25,25,9,25,25,25,25,25,25,25,25,2,25,25,6,4,25,25,5,3,25,25,25,25,25
UKR,25,25,1,25,25,4,25,25,7,25,25,25,25,25,25,25,6,5,25,25,25,25,25,25,25,10,25,8,25,2,25,25,25,9,3,25,25,25,25,25
URY,25,25,4,25,25,9,25,25,3,25,25,25,25,25,25,25,2,25,25,25,25,25,25,25,25,25,25,25,25,8,1,6,5,7,10,25,25,25,25,25
USA,25,25,1,25,25,7,25,25,6,8,4,25,25,25,25,25,10,25,25,25,25,25,25,25,25,25,9,25,2,25,5,3,25,25,25,25,25,25,25,25
VNM,25,25,1,25,25,4,25,25,25,25,7,25,25,25,25,25,3,25,25,25,25,6,5,25,25,25,2,25,25,25,9,25,25,10,8,25,25,25,25,25
