,SumWeight
BELONG,662.0
EMOSUPS,458.8
PERCOMP,305.80000000000007
ST207Q02HA,303.6
ST207Q01HA,285.8
PERCOOP,278.4
ST206Q01HA,262.8
ST207Q05HA,247.3
DISCLIMA,168.70000000000002
PV1READ,155.8
ST004D01T,141.9
ST207Q04HA,138.10000000000002
ST207Q03HA,136.2
SWBP,87.7
PV1MATH,75.4
GFOFAIL,66.6
PV1SCIE,51.8
SCREADDIFF,43.3
ATTLNACT,38.39999999999999
ST184Q01HA,37.3
GRADE,32.6
REPEAT,29.4
ST185Q01HA,22.0
WORKMAST,15.0
SCREADCOMP,14.1
METASUM,10.0
ADAPTIVITY,9.1
UNDREM,9.0
TEACHINT,9.0
TEACHSUP,8.1
BSMJ,7.199999999999999
