,ADAPTIVITY,ATTLNACT,BELONG,BSMJ,DISCLIMA,EMOSUPS,GFOFAIL,GRADE,METASUM,PERCOMP,PERCOOP,PV1MATH,PV1READ,PV1SCIE,REPEAT,SCREADCOMP,SCREADDIFF,ST004D01T,ST184Q01HA,ST185Q01HA,ST206Q01HA,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,ST207Q05HA,SWBP,TEACHINT,TEACHSUP,UNDREM,WORKMAST
MDA,21,21,1,21,3,7,21,21,21,10,2,21,21,21,21,21,21,21,21,4,5,21,6,21,9,8,21,21,21,21,21
MEX,21,21,3,21,8,1,21,21,21,4,5,21,21,9,21,21,21,21,21,21,21,10,6,7,21,2,21,21,21,21,21
MLT,21,21,1,21,8,4,21,21,9,21,21,21,10,21,21,21,21,2,21,21,5,6,7,3,21,21,21,21,21,21,21
MNE,21,21,1,21,9,2,21,21,21,21,10,21,21,21,21,21,7,21,21,21,6,21,5,8,21,3,4,21,21,21,21
MYS,21,21,1,21,2,8,21,21,21,21,5,4,21,3,21,21,21,6,10,21,21,9,21,21,21,7,21,21,21,21,21
NLD,21,21,1,21,21,10,21,21,21,6,3,21,21,21,9,21,21,21,21,21,7,2,4,21,5,8,21,21,21,21,21
NOR,21,21,1,21,7,2,21,21,21,21,21,21,5,9,21,21,21,21,21,21,3,6,21,21,8,21,21,10,21,21,4
NZL,21,21,1,21,6,4,21,21,21,9,5,21,21,21,21,21,21,21,21,21,10,3,21,2,8,7,21,21,21,21,21
PAN,21,21,9,21,21,2,21,21,21,1,4,10,21,8,21,21,21,21,21,21,3,6,21,21,5,7,21,21,21,21,21
PER,21,21,5,21,7,3,21,21,21,4,1,21,21,21,21,21,21,21,21,21,2,21,6,8,10,9,21,21,21,21,21
PHL,21,21,10,21,21,1,9,21,21,3,5,4,2,21,8,21,21,6,21,21,21,21,21,21,21,7,21,21,21,21,21
POL,21,21,2,21,10,4,21,21,21,8,5,21,21,21,21,21,21,21,21,21,1,7,3,21,9,6,21,21,21,21,21
PRT,21,21,1,21,21,3,7,21,21,8,21,21,4,5,2,21,21,21,21,21,6,10,9,21,21,21,21,21,21,21,21
QAT,21,21,1,21,21,3,21,21,21,21,21,21,9,21,21,21,7,2,4,21,8,10,21,21,5,6,21,21,21,21,21
QAZ,21,21,2,21,21,1,21,21,21,3,5,21,21,21,21,21,21,4,7,21,10,21,6,8,21,9,21,21,21,21,21
QCI,21,21,1,21,2,21,21,21,21,6,8,21,21,21,21,21,21,3,21,21,4,7,5,21,10,21,9,21,21,21,21
QMR,21,4,3,21,7,1,21,21,21,6,21,21,5,21,21,21,8,21,21,21,21,9,21,21,21,2,21,21,21,10,21
QRT,21,21,1,21,21,3,21,21,21,2,9,21,7,21,21,21,21,21,8,21,21,21,4,6,5,21,21,21,21,10,21
ROU,21,21,1,21,3,2,21,21,21,10,4,21,7,21,21,21,21,21,21,21,21,9,21,21,6,5,8,21,21,21,21
RUS,21,21,1,21,9,5,21,21,21,2,21,21,4,21,21,21,21,21,21,21,8,6,7,10,21,3,21,21,21,21,21
SAU,21,21,4,21,10,2,21,21,21,21,3,21,21,21,21,21,21,5,21,21,1,7,9,21,8,6,21,21,21,21,21
SGP,21,21,1,21,6,21,21,9,21,8,5,7,2,10,21,21,21,4,21,21,21,3,21,21,21,21,21,21,21,21,21
SRB,21,21,1,21,21,2,6,21,21,4,5,21,21,21,21,21,21,21,21,21,3,8,7,10,21,9,21,21,21,21,21
SVK,21,21,1,21,21,2,21,21,21,9,8,21,21,21,21,21,21,21,21,21,10,5,3,7,21,4,6,21,21,21,21
SVN,21,7,1,21,21,2,21,21,10,3,6,21,5,21,21,21,21,21,21,21,21,21,8,9,21,4,21,21,21,21,21
SWE,21,21,1,21,5,21,6,21,21,3,21,7,8,21,21,21,21,21,21,21,21,4,21,21,21,9,2,21,10,21,21
TAP,21,10,1,21,4,5,21,3,21,21,9,7,21,21,21,21,21,21,21,21,2,8,6,21,21,21,21,21,21,21,21
THA,21,21,1,21,21,8,21,21,21,9,21,6,2,21,21,21,21,3,21,21,21,21,10,7,5,4,21,21,21,21,21
TUR,21,21,1,21,8,2,10,21,21,21,9,21,4,21,21,21,21,3,21,21,21,21,5,7,6,21,21,21,21,21,21
UKR,21,21,1,21,3,6,21,8,21,5,4,21,10,21,21,21,21,21,21,21,2,21,7,21,9,21,21,21,21,21,21
URY,21,21,4,21,21,1,21,21,21,2,21,10,21,21,21,21,21,9,21,21,6,5,3,21,8,7,21,21,21,21,21
USA,21,21,1,21,9,21,10,21,21,21,21,6,4,21,8,21,21,21,21,3,7,2,5,21,21,21,21,21,21,21,21
VNM,21,21,1,21,7,21,9,4,21,5,21,21,21,21,3,21,21,2,21,21,21,21,21,6,8,21,21,21,10,21,21
