Country1,Country2,Footrule
AUS,CHE,136.0
AUS,CHL,136.0
AUS,COL,138.0
AUS,CRI,146.0
AUS,CZE,156.0
AUS,DEU,142.0
AUS,DNK,98.0
AUS,DOM,144.0
AUS,ESP,98.0
AUS,EST,92.0
AUS,FIN,162.0
AUS,FRA,202.0
AUS,GBR,154.0
AUS,GEO,126.0
AUS,GRC,108.0
AUS,HKG,178.0
AUS,HRV,118.0
AUS,HUN,146.0
AUS,IDN,136.0
AUS,IRL,148.0
AUS,ISL,186.0
AUS,ITA,128.0
AUS,JOR,182.0
AUS,JPN,168.0
AUS,KAZ,160.0
AUS,KOR,114.0
AUS,KSV,154.0
AUS,LTU,126.0
AUS,LUX,168.0
AUS,LVA,170.0
AUS,MAC,160.0
AUS,MAR,174.0
AUS,MDA,194.0
AUS,MEX,128.0
AUS,MLT,92.0
AUS,MNE,158.0
AUS,MYS,200.0
AUS,NLD,214.0
AUS,NOR,154.0
AUS,NZL,52.0
AUS,PAN,160.0
AUS,PER,190.0
AUS,PHL,172.0
AUS,POL,156.0
AUS,PRT,194.0
AUS,QAT,160.0
AUS,QAZ,128.0
AUS,QCI,180.0
AUS,QMR,188.0
AUS,QRT,136.0
AUS,ROU,110.0
AUS,RUS,98.0
AUS,SAU,154.0
AUS,SGP,180.0
AUS,SRB,132.0
AUS,SVK,132.0
AUS,SVN,156.0
AUS,SWE,130.0
AUS,TAP,184.0
AUS,THA,134.0
AUS,TUR,186.0
AUS,UKR,112.0
AUS,URY,232.0
AUS,USA,164.0
AUS,VNM,196.0
AUT,BEL,122.0
AUT,BGR,158.0
AUT,BIH,108.0
AUT,BLR,122.0
AUT,BRA,96.0
AUT,BRN,66.0
AUT,CAN,182.0
AUT,CHE,78.0
AUT,CHL,108.0
AUT,COL,64.0
AUT,CRI,142.0
AUT,CZE,160.0
AUT,DEU,58.0
AUT,DNK,128.0
AUT,DOM,104.0
AUT,ESP,48.0
AUT,EST,122.0
