,SumWeight
BELONG,653.0
ST004D01T,487.4
EMOSUPS,336.30000000000007
DISCLIMA,331.2
PERCOMP,215.40000000000003
GFOFAIL,210.1
ST207Q03HA,198.6
ST207Q02HA,163.70000000000002
ST207Q04HA,158.89999999999998
SWBP,147.89999999999998
ST207Q01HA,138.2
PV1READ,130.7
ST207Q05HA,112.79999999999998
PERCOOP,71.69999999999999
ST206Q01HA,64.59999999999998
REPEAT,49.8
SCREADDIFF,44.5
GRADE,43.1
ST185Q01HA,29.099999999999998
ATTLNACT,29.000000000000004
PV1MATH,18.000000000000004
ST184Q01HA,17.4
TEACHSUP,17.200000000000003
EUDMO,14.299999999999999
JOYREAD,14.299999999999997
COMPETE,12.399999999999999
WORKMAST,12.399999999999999
SCREADCOMP,12.399999999999999
RATCMP2,11.5
RESILIENCE,10.399999999999999
DIRINS,9.5
METASUM,8.499999999999998
EDUSHORT,7.499999999999999
PV1SCIE,6.599999999999999
