,AGE,ATTLNACT,BELONG,BSMJ,COMPETE,DISCLIMA,DURECEC,EDUSHORT,EMOSUPS,EUDMO,GFOFAIL,GRADE,JOYREAD,MASTGOAL,METASPAM,METASUM,PERCOMP,PERCOOP,PV1MATH,PV1READ,PV1SCIE,RATCMP2,REPEAT,SCREADCOMP,SCREADDIFF,ST004D01T,ST184Q01HA,ST185Q01HA,ST206Q01HA,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,ST207Q05HA,SWBP,TEACHINT,TEACHSUP,UNDREM,WORKMAST
DNK,0.1,0.1,5.0,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.0,6.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.0,3.0,0.1,4.0,0.1,2.0,8.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1
DOM,0.1,0.1,5.0,0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.0,10.0,0.1,6.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.0,2.0,4.0,3.0,7.0,0.1,0.1,0.1,0.1,0.1
ESP,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.0,0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,5.0,0.1,0.1,3.0,10.0,9.0,8.0,0.1,4.0,0.1,0.1,0.1,0.1,0.1
EST,0.1,0.1,7.0,0.1,0.1,3.0,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.0,0.1,0.1,0.1,10.0,9.0,1.0,2.0,4.0,0.1,0.1,0.1,0.1,0.1
FIN,0.1,0.1,9.0,0.1,0.1,5.0,0.1,0.1,7.0,0.1,2.0,0.1,0.1,0.1,0.1,0.1,0.1,4.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,1.0,3.0,6.0,8.0,0.1,0.1,0.1,0.1,0.1,0.1
FRA,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,5.0,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.0,9.0,4.0,8.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1
GBR,0.1,0.1,10.0,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.0,4.0,0.1,3.0,5.0,6.0,2.0,8.0,0.1,1.0,0.1,0.1,0.1,0.1
GEO,0.1,0.1,9.0,0.1,0.1,0.1,0.1,0.1,8.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.0,5.0,0.1,2.0,0.1,0.1,0.1,0.1,0.1,6.0,0.1,0.1,0.1,7.0,10.0,1.0,0.1,4.0,0.1,0.1,0.1,0.1,0.1
GRC,0.1,0.1,3.0,0.1,0.1,0.1,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.0,1.0,0.1,5.0,0.1,0.1,0.1,0.1,0.1,6.0,0.1,0.1,0.1,10.0,9.0,4.0,8.0,0.1,0.1,0.1,0.1,0.1,0.1
HKG,0.1,3.0,9.0,0.1,0.1,7.0,0.1,0.1,6.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.0,0.1,0.1,0.1,10.0,0.1,4.0,0.1,5.0,8.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
HRV,0.1,0.1,8.0,0.1,0.1,0.1,0.1,0.1,9.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,2.0,0.1,0.1,0.1,0.1,0.1,7.0,0.1,0.1,1.0,0.1,4.0,6.0,5.0,3.0,0.1,0.1,0.1,0.1,0.1
HUN,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.0,3.0,0.1,9.0,2.0,0.1,0.1,0.1,0.1,8.0,0.1,0.1,0.1,0.1,4.0,0.1,1.0,5.0,0.1,0.1,0.1,0.1,0.1
IDN,0.1,0.1,9.0,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,4.0,3.0,7.0,0.1,0.1,0.1,0.1,0.1,5.0,0.1,0.1,1.0,2.0,0.1,0.1,8.0,0.1,0.1,0.1,0.1,0.1,0.1
IRL,0.1,0.1,10.0,0.1,0.1,2.0,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.0,0.1,0.1,8.0,1.0,7.0,4.0,5.0,0.1,0.1,0.1,0.1,0.1,0.1
ISL,0.1,5.0,9.0,0.1,0.1,0.1,0.1,0.1,8.0,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,10.0,0.1,2.0,4.0,0.1,0.1,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,7.0,0.1,3.0,0.1,0.1,0.1,0.1,0.1
ITA,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,8.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.0,0.1,0.1,0.1,0.1,0.1,7.0,0.1,0.1,1.0,10.0,9.0,5.0,2.0,3.0,0.1,0.1,0.1,0.1,0.1
JOR,0.1,1.0,7.0,0.1,0.1,0.1,0.1,0.1,9.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,8.0,0.1,5.0,6.0,0.1,3.0,0.1,0.1,0.1,0.1,2.0
JPN,0.1,0.1,9.0,0.1,0.1,8.0,0.1,0.1,7.0,2.0,0.1,0.1,0.1,0.1,0.1,4.0,5.0,0.1,0.1,0.1,0.1,0.1,0.1,3.0,0.1,10.0,1.0,0.1,0.1,0.1,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,0.1
KAZ,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.0,7.0,0.1,8.0,0.1,0.1,0.1,0.1,0.1,9.0,0.1,0.1,0.1,0.1,3.0,2.0,5.0,1.0,0.1,0.1,0.1,0.1,0.1
KOR,0.1,0.1,10.0,0.1,0.1,8.0,4.0,3.0,5.0,0.1,1.0,0.1,0.1,0.1,0.1,2.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.0,0.1,0.1,7.0,0.1,6.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
