,SumWeight
BELONG,91.0
ST004D01T,79.0
PV1READ,77.0
DISCLIMA,49.1
PV1SCIE,36.300000000000004
EMOSUPS,35.5
PERCOMP,24.6
PERCOOP,21.5
ST207Q05HA,20.5
PV1MATH,15.7
ST206Q01HA,14.700000000000001
ATTLNACT,14.499999999999998
ST207Q03HA,12.6
ST207Q04HA,10.7
SCREADDIFF,9.7
EDUSHORT,7.8999999999999995
GFOFAIL,6.8999999999999995
UNDREM,5.8999999999999995
TEACHSUP,5.8999999999999995
METASUM,5.8
ST207Q01HA,4.8999999999999995
PERFEED,3.9000000000000004
GRADE,3.9
ST184Q01HA,2.9000000000000004
RATCMP1,1.9000000000000004
TEACHINT,1.9000000000000004
METASPAM,1.9000000000000004
COMPETE,1.9000000000000001
MASTGOAL,1.0
REPEAT,1.0
RATCMP2,1.0
EUDMO,1.0
ST185Q01HA,1.0
ST207Q02HA,1.0
STIMREAD,1.0
SWBP,1.0
WORKMAST,1.0
