,AGE,ATTLNACT,BELONG,BSMJ,COMPETE,DISCLIMA,DURECEC,EDUSHORT,EMOSUPS,EUDMO,GFOFAIL,GRADE,JOYREAD,MASTGOAL,METASPAM,METASUM,PERCOMP,PERCOOP,PV1MATH,PV1READ,PV1SCIE,RATCMP2,REPEAT,SCREADCOMP,SCREADDIFF,ST004D01T,ST184Q01HA,ST185Q01HA,ST206Q01HA,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,ST207Q05HA,SWBP,TEACHINT,TEACHSUP,UNDREM,WORKMAST
NZL,25,25,2,25,25,8,25,25,6,25,25,25,25,25,25,25,25,25,25,9,25,25,25,25,25,1,25,25,10,7,4,3,25,5,25,25,25,25,25
PAN,25,7,8,25,25,25,25,25,1,25,25,25,25,25,25,25,2,5,25,6,25,25,25,25,25,25,25,25,3,4,25,10,25,9,25,25,25,25,25
PER,25,25,3,25,25,10,25,25,1,25,25,25,25,25,25,25,4,2,25,5,25,25,25,25,25,6,25,25,25,7,9,25,8,25,25,25,25,25,25
PHL,25,25,25,25,25,6,25,25,2,25,25,25,25,25,25,25,3,4,5,1,25,25,25,25,9,10,25,25,25,25,7,25,25,8,25,25,25,25,25
POL,25,25,10,25,25,25,25,25,3,25,25,25,25,25,25,25,25,8,25,5,25,25,25,25,25,6,25,25,4,9,1,25,7,2,25,25,25,25,25
PRT,25,25,3,25,25,25,25,25,4,25,25,25,25,25,10,25,9,25,25,2,6,25,1,25,25,7,25,25,5,25,8,25,25,25,25,25,25,25,25
QAT,25,7,1,25,25,25,25,25,3,25,25,25,25,25,25,25,25,25,25,4,25,25,25,25,25,2,8,25,9,25,10,5,25,6,25,25,25,25,25
QAZ,25,25,2,25,25,25,25,25,1,25,25,25,25,25,25,25,3,4,25,25,25,25,25,25,25,6,7,25,25,25,5,9,10,8,25,25,25,25,25
QCI,25,25,1,25,25,2,25,25,25,25,4,25,25,25,25,25,7,25,10,25,25,25,25,25,25,3,25,25,6,5,8,25,25,25,25,9,25,25,25
QMR,25,25,5,25,25,25,25,25,1,25,25,25,25,25,25,25,3,4,25,2,25,25,25,25,25,6,25,25,25,25,7,8,25,10,25,25,25,9,25
