,SumWeight
EMOSUPS,513.4
BELONG,499.1
ST004D01T,427.5
ST207Q02HA,346.0
PV1READ,303.80000000000007
ST207Q03HA,246.9
PERCOMP,221.90000000000003
PERCOOP,211.69999999999996
ST207Q01HA,206.1
ST207Q04HA,163.29999999999998
ST207Q05HA,158.1
ST206Q01HA,153.8
DISCLIMA,124.1
ST184Q01HA,45.900000000000006
PV1SCIE,40.900000000000006
PV1MATH,38.2
SCREADDIFF,36.1
ATTLNACT,33.1
REPEAT,30.400000000000006
GRADE,26.500000000000004
SCREADCOMP,14.699999999999998
EUDMO,11.699999999999998
METASUM,10.799999999999997
TEACHSUP,9.799999999999997
BSMJ,9.799999999999997
ST185Q01HA,9.7
GFOFAIL,9.7
SWBP,8.799999999999999
WORKMAST,8.799999999999997
UNDREM,8.799999999999997
MASTGOAL,7.799999999999999
EDUSHORT,7.799999999999998
JOYREAD,7.799999999999997
METASPAM,7.799999999999997
AGE,6.899999999999998
DURECEC,6.899999999999998
COMPETE,6.899999999999998
RATCMP2,6.899999999999998
TEACHINT,6.899999999999998
