Predictor,Countries_in_Top10
BELONG,76
ST004D01T,72
EMOSUPS,68
ST207Q02HA,64
PV1READ,53
ST207Q03HA,52
ST207Q04HA,49
PERCOOP,44
ST207Q01HA,43
PERCOMP,42
ST207Q05HA,38
ST206Q01HA,38
DISCLIMA,36
ST184Q01HA,11
PV1MATH,10
PV1SCIE,10
ATTLNACT,9
SCREADDIFF,9
GRADE,6
GFOFAIL,5
REPEAT,5
SWBP,3
ST185Q01HA,3
EUDMO,3
METASUM,3
EDUSHORT,2
RATCMP2,2
TEACHSUP,2
SCREADCOMP,2
BSMJ,1
AGE,1
DURECEC,1
COMPETE,1
METASPAM,1
JOYREAD,1
MASTGOAL,1
TEACHINT,1
UNDREM,1
WORKMAST,1
