Country,Type,Rank,Feature,Importance
BRA,BEINGBULLIED,5,PERCOMP,0.030025832
BRA,BEINGBULLIED,6,DISCLIMA,0.029760977
BRA,BEINGBULLIED,7,ST207Q01HA,0.029355586
BRA,BEINGBULLIED,8,GFOFAIL,0.027520085
BRA,BEINGBULLIED,9,PV1READ,0.02676995
BRA,BEINGBULLIED,10,ST206Q01HA,0.025221692
BRN,BEINGBULLIED,1,PV1READ,0.085664265
BRN,BEINGBULLIED,2,ST004D01T,0.07292727
BRN,BEINGBULLIED,3,BELONG,0.05039669
BRN,BEINGBULLIED,4,DISCLIMA,0.039875153
BRN,BEINGBULLIED,5,PV1SCIE,0.029219795
BRN,BEINGBULLIED,6,PV1MATH,0.025097765
BRN,BEINGBULLIED,7,ST207Q02HA,0.023688508
BRN,BEINGBULLIED,8,ST207Q01HA,0.02263572
BRN,BEINGBULLIED,9,ST206Q01HA,0.022511926
BRN,BEINGBULLIED,10,SCREADDIFF,0.0220949
CAN,BEINGBULLIED,1,BELONG,0.1763151
CAN,BEINGBULLIED,2,DISCLIMA,0.053547967
CAN,BEINGBULLIED,3,SWBP,0.052475713
CAN,BEINGBULLIED,4,ST004D01T,0.04986013
CAN,BEINGBULLIED,5,GFOFAIL,0.044456467
CAN,BEINGBULLIED,6,COMPETE,0.032941777
CAN,BEINGBULLIED,7,ST207Q01HA,0.03225849
CAN,BEINGBULLIED,8,PV1MATH,0.031524826
CAN,BEINGBULLIED,9,ST207Q05HA,0.026809266
CAN,BEINGBULLIED,10,ST207Q02HA,0.025939824
CHE,BEINGBULLIED,1,BELONG,0.08705063
CHE,BEINGBULLIED,2,ST207Q04HA,0.039529264
CHE,BEINGBULLIED,3,EMOSUPS,0.03484166
CHE,BEINGBULLIED,4,GRADE,0.030373083
CHE,BEINGBULLIED,5,PERCOMP,0.028582975
CHE,BEINGBULLIED,6,PERCOOP,0.028238222
CHE,BEINGBULLIED,7,ST207Q03HA,0.027986346
CHE,BEINGBULLIED,8,PV1MATH,0.026701793
CHE,BEINGBULLIED,9,ST207Q02HA,0.025929408
CHE,BEINGBULLIED,10,DISCLIMA,0.02514464
CHL,BEINGBULLIED,1,BELONG,0.0777436
CHL,BEINGBULLIED,2,ST004D01T,0.054253146
CHL,BEINGBULLIED,3,EMOSUPS,0.037636295
CHL,BEINGBULLIED,4,ST207Q04HA,0.032282006
CHL,BEINGBULLIED,5,GFOFAIL,0.030155107
CHL,BEINGBULLIED,6,PERCOMP,0.029555328
CHL,BEINGBULLIED,7,DISCLIMA,0.028366584
CHL,BEINGBULLIED,8,ST206Q01HA,0.027494552
CHL,BEINGBULLIED,9,PV1READ,0.024771394
CHL,BEINGBULLIED,10,ST207Q05HA,0.022972537
COL,BEINGBULLIED,1,BELONG,0.068311065
COL,BEINGBULLIED,2,ST004D01T,0.048880644
COL,BEINGBULLIED,3,DISCLIMA,0.04166062
COL,BEINGBULLIED,4,ST207Q05HA,0.039255463
COL,BEINGBULLIED,5,PV1READ,0.032794923
COL,BEINGBULLIED,6,ST207Q04HA,0.03044784
COL,BEINGBULLIED,7,ST207Q03HA,0.028416151
COL,BEINGBULLIED,8,RESILIENCE,0.02689519
COL,BEINGBULLIED,9,GFOFAIL,0.02644984
COL,BEINGBULLIED,10,ST207Q01HA,0.026256282
