Country,Type,Rank,Feature,Importance
MYS,BEINGBULLIED,2,ST004D01T,0.070525005
MYS,BEINGBULLIED,3,DISCLIMA,0.04514983
MYS,BEINGBULLIED,4,PERCOOP,0.036996737
MYS,BEINGBULLIED,5,ST207Q03HA,0.032763068
MYS,BEINGBULLIED,6,ST207Q04HA,0.031688772
MYS,BEINGBULLIED,7,ST207Q05HA,0.02810923
MYS,BEINGBULLIED,8,ST207Q01HA,0.02799704
MYS,BEINGBULLIED,9,ST207Q02HA,0.0264874
MYS,BEINGBULLIED,10,PERCOMP,0.024055615
NLD,BEINGBULLIED,1,BELONG,0.0616341
NLD,BEINGBULLIED,2,ST004D01T,0.046803795
NLD,BEINGBULLIED,3,DISCLIMA,0.034411173
NLD,BEINGBULLIED,4,ST207Q02HA,0.034235395
NLD,BEINGBULLIED,5,ST207Q05HA,0.032975107
NLD,BEINGBULLIED,6,ST207Q01HA,0.029968902
NLD,BEINGBULLIED,7,ST207Q03HA,0.028417092
NLD,BEINGBULLIED,8,GFOFAIL,0.028040377
NLD,BEINGBULLIED,9,PERCOMP,0.026824022
NLD,BEINGBULLIED,10,PV1MATH,0.02503393
NOR,BEINGBULLIED,1,BELONG,0.124933735
NOR,BEINGBULLIED,2,DISCLIMA,0.040116865
NOR,BEINGBULLIED,3,EMOSUPS,0.03645585
NOR,BEINGBULLIED,4,ST207Q04HA,0.03586414
NOR,BEINGBULLIED,5,TEACHSUP,0.03566337
NOR,BEINGBULLIED,6,ST004D01T,0.035648078
NOR,BEINGBULLIED,7,ST206Q01HA,0.028944302
NOR,BEINGBULLIED,8,ST207Q03HA,0.028628472
NOR,BEINGBULLIED,9,ST207Q05HA,0.0283717
NOR,BEINGBULLIED,10,PERCOOP,0.028074536
NZL,BEINGBULLIED,1,BELONG,0.1198576
NZL,BEINGBULLIED,2,ST004D01T,0.050154954
NZL,BEINGBULLIED,3,DISCLIMA,0.0396906
NZL,BEINGBULLIED,4,ST207Q01HA,0.03301309
NZL,BEINGBULLIED,5,PERCOMP,0.032357823
NZL,BEINGBULLIED,6,GFOFAIL,0.031967465
NZL,BEINGBULLIED,7,ST207Q02HA,0.027888417
NZL,BEINGBULLIED,8,EMOSUPS,0.026046075
NZL,BEINGBULLIED,9,ST207Q04HA,0.023773646
NZL,BEINGBULLIED,10,PV1READ,0.023132538
PAN,BEINGBULLIED,1,BELONG,0.05063282
PAN,BEINGBULLIED,2,PERCOMP,0.033885244
PAN,BEINGBULLIED,3,EMOSUPS,0.03360301
PAN,BEINGBULLIED,4,PV1READ,0.032020614
PAN,BEINGBULLIED,5,ST004D01T,0.03029717
PAN,BEINGBULLIED,6,ST206Q01HA,0.030037211
PAN,BEINGBULLIED,7,ST207Q03HA,0.029614208
PAN,BEINGBULLIED,8,PERCOOP,0.029282987
PAN,BEINGBULLIED,9,ATTLNACT,0.029080758
PAN,BEINGBULLIED,10,TEACHSUP,0.026973698
PER,BEINGBULLIED,1,BELONG,0.07342361
PER,BEINGBULLIED,2,ST004D01T,0.03894913
PER,BEINGBULLIED,3,ST207Q03HA,0.03604359
PER,BEINGBULLIED,4,DISCLIMA,0.031636402
PER,BEINGBULLIED,5,ST207Q01HA,0.02982578
PER,BEINGBULLIED,6,ST207Q04HA,0.025630653
PER,BEINGBULLIED,7,WORKMAST,0.025478821
PER,BEINGBULLIED,8,PV1READ,0.025263816
PER,BEINGBULLIED,9,GFOFAIL,0.024951473
PER,BEINGBULLIED,10,SCREADDIFF,0.024895292
PHL,BEINGBULLIED,1,PV1READ,0.0794605
PHL,BEINGBULLIED,2,ST207Q01HA,0.043003492
PHL,BEINGBULLIED,3,PERCOOP,0.037401974
PHL,BEINGBULLIED,4,SCREADDIFF,0.037383635
PHL,BEINGBULLIED,5,ST004D01T,0.034741428
PHL,BEINGBULLIED,6,DISCLIMA,0.033739645
PHL,BEINGBULLIED,7,BELONG,0.031903233
PHL,BEINGBULLIED,8,PV1SCIE,0.030779706
PHL,BEINGBULLIED,9,PERCOMP,0.02932997
PHL,BEINGBULLIED,10,ST207Q04HA,0.02807887
POL,BEINGBULLIED,1,BELONG,0.07317768
POL,BEINGBULLIED,2,ST004D01T,0.0449177
POL,BEINGBULLIED,3,EMOSUPS,0.038907465
POL,BEINGBULLIED,4,DISCLIMA,0.033669345
POL,BEINGBULLIED,5,ST206Q01HA,0.03096919
POL,BEINGBULLIED,6,ST207Q04HA,0.029212806
POL,BEINGBULLIED,7,PV1READ,0.028830722
POL,BEINGBULLIED,8,ST207Q02HA,0.0278316
POL,BEINGBULLIED,9,SWBP,0.026903266
POL,BEINGBULLIED,10,SCREADDIFF,0.026664823
PRT,BEINGBULLIED,1,BELONG,0.089645036
PRT,BEINGBULLIED,2,REPEAT,0.0738681
PRT,BEINGBULLIED,3,ST004D01T,0.030243974
PRT,BEINGBULLIED,4,GFOFAIL,0.029058091
PRT,BEINGBULLIED,5,DISCLIMA,0.028892556
PRT,BEINGBULLIED,6,PV1READ,0.027059441
PRT,BEINGBULLIED,7,PERCOMP,0.02618839
PRT,BEINGBULLIED,8,SWBP,0.025677387
PRT,BEINGBULLIED,9,EMOSUPS,0.024121229
PRT,BEINGBULLIED,10,RESILIENCE,0.023763834
QAT,BEINGBULLIED,1,ST004D01T,0.14907259
QAT,BEINGBULLIED,2,BELONG,0.085405335
QAT,BEINGBULLIED,3,ST207Q03HA,0.049782246
QAT,BEINGBULLIED,4,ST207Q04HA,0.03577107
QAT,BEINGBULLIED,5,GFOFAIL,0.03413209
QAT,BEINGBULLIED,6,ST207Q05HA,0.03023942
QAT,BEINGBULLIED,7,EMOSUPS,0.02877499
QAT,BEINGBULLIED,8,PV1READ,0.026982443
QAT,BEINGBULLIED,9,PERCOMP,0.026432099
QAT,BEINGBULLIED,10,ST207Q01HA,0.025995286
QAZ,BEINGBULLIED,1,ST004D01T,0.07240437
QAZ,BEINGBULLIED,2,BELONG,0.056515645
QAZ,BEINGBULLIED,3,EMOSUPS,0.04603478
QAZ,BEINGBULLIED,4,PV1READ,0.034487244
QAZ,BEINGBULLIED,5,ST207Q03HA,0.033077493
QAZ,BEINGBULLIED,6,ST207Q04HA,0.03249303
QAZ,BEINGBULLIED,7,ST207Q01HA,0.029315658
QAZ,BEINGBULLIED,8,SCREADDIFF,0.027980324
QAZ,BEINGBULLIED,9,ST206Q01HA,0.026561173
QAZ,BEINGBULLIED,10,PERCOOP,0.023457035
QCI,BEINGBULLIED,1,BELONG,0.10574522
QCI,BEINGBULLIED,2,ST004D01T,0.08546815
QCI,BEINGBULLIED,3,DISCLIMA,0.04506501
QCI,BEINGBULLIED,4,ST207Q05HA,0.038318314
QCI,BEINGBULLIED,5,PERCOOP,0.031961743
QCI,BEINGBULLIED,6,SWBP,0.03172517
QCI,BEINGBULLIED,7,ST207Q02HA,0.024919504
QCI,BEINGBULLIED,8,PERCOMP,0.024732215
QCI,BEINGBULLIED,9,GFOFAIL,0.024347953
QCI,BEINGBULLIED,10,ST206Q01HA,0.0236227
QMR,BEINGBULLIED,1,BELONG,0.050008472
QMR,BEINGBULLIED,2,ST207Q05HA,0.045258988
QMR,BEINGBULLIED,3,DISCLIMA,0.0365296
QMR,BEINGBULLIED,4,ST207Q02HA,0.036432236
QMR,BEINGBULLIED,5,SWBP,0.028410899
QMR,BEINGBULLIED,6,EMOSUPS,0.028378086
QMR,BEINGBULLIED,7,PERCOMP,0.027652401
QMR,BEINGBULLIED,8,PV1READ,0.026502248
QMR,BEINGBULLIED,9,ST207Q04HA,0.02596512
QMR,BEINGBULLIED,10,ST207Q03HA,0.025673864
QRT,BEINGBULLIED,1,BELONG,0.073297136
QRT,BEINGBULLIED,2,ST004D01T,0.04013828
QRT,BEINGBULLIED,3,EMOSUPS,0.039350644
QRT,BEINGBULLIED,4,DISCLIMA,0.037760694
QRT,BEINGBULLIED,5,ST207Q03HA,0.03342137
QRT,BEINGBULLIED,6,GFOFAIL,0.03220737
QRT,BEINGBULLIED,7,ST207Q02HA,0.031236654
QRT,BEINGBULLIED,8,ST207Q04HA,0.02959115
QRT,BEINGBULLIED,9,PERCOMP,0.029191015
QRT,BEINGBULLIED,10,ST207Q05HA,0.024813307
ROU,BEINGBULLIED,1,BELONG,0.09870376
ROU,BEINGBULLIED,2,ST004D01T,0.057119567
ROU,BEINGBULLIED,3,DISCLIMA,0.050694186
ROU,BEINGBULLIED,4,EMOSUPS,0.035073336
ROU,BEINGBULLIED,5,ST207Q04HA,0.03265473
ROU,BEINGBULLIED,6,GFOFAIL,0.027614614
ROU,BEINGBULLIED,7,ST207Q01HA,0.02666184
ROU,BEINGBULLIED,8,PV1READ,0.024218764
ROU,BEINGBULLIED,9,ST207Q02HA,0.023572143
ROU,BEINGBULLIED,10,SCREADDIFF,0.023068082
RUS,BEINGBULLIED,1,BELONG,0.085166566
RUS,BEINGBULLIED,2,ST004D01T,0.044225276
RUS,BEINGBULLIED,3,DISCLIMA,0.04399737
RUS,BEINGBULLIED,4,EMOSUPS,0.04032295
RUS,BEINGBULLIED,5,GFOFAIL,0.039539326
RUS,BEINGBULLIED,6,ST207Q01HA,0.034570538
RUS,BEINGBULLIED,7,ST207Q03HA,0.034014832
RUS,BEINGBULLIED,8,PERCOMP,0.028681625
RUS,BEINGBULLIED,9,SWBP,0.02449545
RUS,BEINGBULLIED,10,ST207Q02HA,0.024298603
SAU,BEINGBULLIED,1,ST004D01T,0.11834476
SAU,BEINGBULLIED,2,BELONG,0.06619034
SAU,BEINGBULLIED,3,EMOSUPS,0.041735772
SAU,BEINGBULLIED,4,ST207Q02HA,0.041512366
SAU,BEINGBULLIED,5,ST207Q03HA,0.039702624
SAU,BEINGBULLIED,6,ST207Q04HA,0.032929122
SAU,BEINGBULLIED,7,PERCOOP,0.026600055
SAU,BEINGBULLIED,8,DISCLIMA,0.026296476
SAU,BEINGBULLIED,9,ST206Q01HA,0.025144873
SAU,BEINGBULLIED,10,ATTLNACT,0.022622507
SGP,BEINGBULLIED,1,ST004D01T,0.13250454
SGP,BEINGBULLIED,2,BELONG,0.10001686
SGP,BEINGBULLIED,3,DISCLIMA,0.045643695
SGP,BEINGBULLIED,4,ST206Q01HA,0.028988127
SGP,BEINGBULLIED,5,ST207Q01HA,0.02722419
SGP,BEINGBULLIED,6,PERCOOP,0.026385127
SGP,BEINGBULLIED,7,GFOFAIL,0.025274836
SGP,BEINGBULLIED,8,ST207Q04HA,0.02501317
SGP,BEINGBULLIED,9,ST207Q02HA,0.024480298
SGP,BEINGBULLIED,10,PV1READ,0.02277975
SRB,BEINGBULLIED,1,BELONG,0.0716848
SRB,BEINGBULLIED,2,EMOSUPS,0.0492994
SRB,BEINGBULLIED,3,ST207Q02HA,0.04241543
SRB,BEINGBULLIED,4,ST004D01T,0.039602604
SRB,BEINGBULLIED,5,ST207Q03HA,0.0323367
SRB,BEINGBULLIED,6,PERCOMP,0.031295672
SRB,BEINGBULLIED,7,SCREADDIFF,0.030374752
SRB,BEINGBULLIED,8,GFOFAIL,0.027167073
SRB,BEINGBULLIED,9,ST206Q01HA,0.026632035
SRB,BEINGBULLIED,10,PV1READ,0.02394666
SVK,BEINGBULLIED,1,BELONG,0.080088496
SVK,BEINGBULLIED,2,EMOSUPS,0.03913052
SVK,BEINGBULLIED,3,GRADE,0.033462714
SVK,BEINGBULLIED,4,ST207Q03HA,0.032616444
SVK,BEINGBULLIED,5,ST207Q02HA,0.03066529
SVK,BEINGBULLIED,6,ST004D01T,0.030112062
SVK,BEINGBULLIED,7,SWBP,0.029283956
SVK,BEINGBULLIED,8,DISCLIMA,0.028360264
SVK,BEINGBULLIED,9,ST207Q04HA,0.027228238
SVK,BEINGBULLIED,10,GFOFAIL,0.026370386
SVN,BEINGBULLIED,1,BELONG,0.085791424
SVN,BEINGBULLIED,2,ST004D01T,0.07007527
SVN,BEINGBULLIED,3,PERCOMP,0.038915932
SVN,BEINGBULLIED,4,EMOSUPS,0.036990397
SVN,BEINGBULLIED,5,DISCLIMA,0.029868228
SVN,BEINGBULLIED,6,ST207Q03HA,0.029349424
SVN,BEINGBULLIED,7,ST207Q05HA,0.029194899
SVN,BEINGBULLIED,8,PV1READ,0.027615478
SVN,BEINGBULLIED,9,ST207Q02HA,0.025968751
SVN,BEINGBULLIED,10,ST207Q01HA,0.025929127
SWE,BEINGBULLIED,1,BELONG,0.078603946
SWE,BEINGBULLIED,2,SWBP,0.043982092
SWE,BEINGBULLIED,3,DISCLIMA,0.03389047
SWE,BEINGBULLIED,4,ST004D01T,0.033240546
SWE,BEINGBULLIED,5,GFOFAIL,0.029405216
SWE,BEINGBULLIED,6,PERCOMP,0.026161714
SWE,BEINGBULLIED,7,ST207Q04HA,0.025708485
SWE,BEINGBULLIED,8,ST206Q01HA,0.024642088
SWE,BEINGBULLIED,9,ST185Q01HA,0.024613693
SWE,BEINGBULLIED,10,EMOSUPS,0.02334522
TAP,BEINGBULLIED,1,BELONG,0.067565374
TAP,BEINGBULLIED,2,ST004D01T,0.04897636
TAP,BEINGBULLIED,3,GRADE,0.04647219
TAP,BEINGBULLIED,4,DISCLIMA,0.033556614
TAP,BEINGBULLIED,5,REPEAT,0.03215527
TAP,BEINGBULLIED,6,ST207Q05HA,0.031926755
TAP,BEINGBULLIED,7,EMOSUPS,0.030953616
TAP,BEINGBULLIED,8,ST207Q02HA,0.030682467
TAP,BEINGBULLIED,9,PERCOMP,0.029214509
TAP,BEINGBULLIED,10,ST206Q01HA,0.026615089
THA,BEINGBULLIED,1,BELONG,0.09199492
THA,BEINGBULLIED,2,ST004D01T,0.06320363
THA,BEINGBULLIED,3,ST207Q03HA,0.04876678
THA,BEINGBULLIED,4,ST207Q02HA,0.04796688
THA,BEINGBULLIED,5,PV1READ,0.0476672
THA,BEINGBULLIED,6,ST207Q01HA,0.037621357
THA,BEINGBULLIED,7,PV1MATH,0.034857906
THA,BEINGBULLIED,8,ST207Q05HA,0.031157939
THA,BEINGBULLIED,9,REPEAT,0.02864783
THA,BEINGBULLIED,10,EMOSUPS,0.028542168
TUR,BEINGBULLIED,1,BELONG,0.07833018
TUR,BEINGBULLIED,2,ST004D01T,0.07571015
TUR,BEINGBULLIED,3,EMOSUPS,0.039238557
TUR,BEINGBULLIED,4,ST207Q02HA,0.036367625
TUR,BEINGBULLIED,5,ST207Q05HA,0.03201012
TUR,BEINGBULLIED,6,DISCLIMA,0.030301975
TUR,BEINGBULLIED,7,ST207Q03HA,0.028366977
TUR,BEINGBULLIED,8,ST207Q04HA,0.027217858
TUR,BEINGBULLIED,9,PV1READ,0.025843427
TUR,BEINGBULLIED,10,GFOFAIL,0.024666406
UKR,BEINGBULLIED,1,BELONG,0.07428951
UKR,BEINGBULLIED,2,ST004D01T,0.05078727
UKR,BEINGBULLIED,3,DISCLIMA,0.04490193
UKR,BEINGBULLIED,4,EMOSUPS,0.036900297
UKR,BEINGBULLIED,5,SWBP,0.031126857
UKR,BEINGBULLIED,6,PERCOMP,0.029858004
UKR,BEINGBULLIED,7,ST207Q04HA,0.029636642
UKR,BEINGBULLIED,8,ST206Q01HA,0.028424786
UKR,BEINGBULLIED,9,ST207Q02HA,0.026800083
UKR,BEINGBULLIED,10,PERCOOP,0.026647529
URY,BEINGBULLIED,1,BELONG,0.068735674
URY,BEINGBULLIED,2,PERCOMP,0.04228027
URY,BEINGBULLIED,3,ST004D01T,0.036191035
URY,BEINGBULLIED,4,DISCLIMA,0.035327837
URY,BEINGBULLIED,5,EMOSUPS,0.030070076
URY,BEINGBULLIED,6,GFOFAIL,0.02906385
URY,BEINGBULLIED,7,ST207Q01HA,0.028253475
URY,BEINGBULLIED,8,ST207Q03HA,0.027031051
URY,BEINGBULLIED,9,ST207Q05HA,0.024967806
URY,BEINGBULLIED,10,PV1READ,0.023727026
USA,BEINGBULLIED,1,BELONG,0.10966759
USA,BEINGBULLIED,2,DISCLIMA,0.03309915
USA,BEINGBULLIED,3,GFOFAIL,0.031998612
USA,BEINGBULLIED,4,ST207Q03HA,0.031964228
USA,BEINGBULLIED,5,EUDMO,0.031096615
USA,BEINGBULLIED,6,ST004D01T,0.029810365
USA,BEINGBULLIED,7,EMOSUPS,0.027175438
USA,BEINGBULLIED,8,ST207Q01HA,0.027074121
USA,BEINGBULLIED,9,ST207Q02HA,0.026455434
USA,BEINGBULLIED,10,PERCOMP,0.026372664
VNM,BEINGBULLIED,1,BELONG,0.07451695
VNM,BEINGBULLIED,2,ST004D01T,0.06987955
VNM,BEINGBULLIED,3,PERCOMP,0.03815432
VNM,BEINGBULLIED,4,DISCLIMA,0.037662815
VNM,BEINGBULLIED,5,ST207Q01HA,0.03575307
VNM,BEINGBULLIED,6,RATCMP2,0.031290557
VNM,BEINGBULLIED,7,ST184Q01HA,0.03047864
VNM,BEINGBULLIED,8,PERCOOP,0.028685093
VNM,BEINGBULLIED,9,GFOFAIL,0.027681176
VNM,BEINGBULLIED,10,EDUSHORT,0.026947351
