Country,Type,Prevalence
GRC,BEINGBULLIED,0.003993181818181816
GRC,BULLY_VERBAL,0.1466500078088396
GRC,BULLY_THREAT,0.06231454005934718
GRC,BULLY_PHYSICAL,0.11244729033265656
GRC,BULLY_RELATIONAL,0.09495548961424333
HKG,BEINGBULLIED,0.10762570454137496
HKG,BULLY_VERBAL,0.21716084147755507
HKG,BULLY_THREAT,0.05681629948649992
HKG,BULLY_PHYSICAL,0.12025840649329136
HKG,BULLY_RELATIONAL,0.09739937054828557
HRV,BEINGBULLIED,-0.19261416544655935
HRV,BULLY_VERBAL,0.07716749886518384
HRV,BULLY_THREAT,0.053109396277803
HRV,BULLY_PHYSICAL,0.07489786654561961
HRV,BULLY_RELATIONAL,0.0918444545316992
HUN,BEINGBULLIED,-0.11785110536218252
HUN,BULLY_VERBAL,0.09119251753702261
HUN,BULLY_THREAT,0.05339049103663289
HUN,BULLY_PHYSICAL,0.07950116913484022
HUN,BULLY_RELATIONAL,0.10853468433359315
IDN,BEINGBULLIED,0.3507845911949686
IDN,BULLY_VERBAL,0.2094561084476773
IDN,BULLY_THREAT,0.11654818978343529
IDN,BULLY_PHYSICAL,0.2402876508513804
IDN,BULLY_RELATIONAL,0.1786245660439742
IRL,BEINGBULLIED,0.1369505919142283
IRL,BULLY_VERBAL,0.12856374394835934
IRL,BULLY_THREAT,0.046082123005199926
IRL,BULLY_PHYSICAL,0.06921283844360768
IRL,BULLY_RELATIONAL,0.0656266810112964
ISL,BEINGBULLIED,-0.184606361007848
ISL,BULLY_VERBAL,0.08616504854368932
ISL,BULLY_THREAT,0.03549757281553398
ISL,BULLY_PHYSICAL,0.03640776699029126
ISL,BULLY_RELATIONAL,0.041868932038834954
ISR,BULLY_VERBAL,0.0
ISR,BULLY_THREAT,0.0
ISR,BULLY_PHYSICAL,0.0
ISR,BULLY_RELATIONAL,0.0
ITA,BEINGBULLIED,-0.07409782859782861
ITA,BULLY_VERBAL,0.08502333474756046
ITA,BULLY_THREAT,0.06728892660161222
ITA,BULLY_PHYSICAL,0.10640644887568944
ITA,BULLY_RELATIONAL,0.09053882053457785
JOR,BEINGBULLIED,0.25482436293436295
JOR,BULLY_VERBAL,0.14213990851277475
JOR,BULLY_THREAT,0.15206961954702666
JOR,BULLY_PHYSICAL,0.22403213209862768
JOR,BULLY_RELATIONAL,0.18107776414147048
