Country,Type,AUC,Rank,Feature,Importance
ARE,BULLY_PHYSICAL,0.8935330927169993,9,ST206Q01HA,0.030843565
ARE,BULLY_PHYSICAL,0.8935330927169993,10,PERCOOP,0.029248687
ARE,BULLY_RELATIONAL,0.8799185706727114,1,BELONG,0.076385364
ARE,BULLY_RELATIONAL,0.8799185706727114,2,ST004D01T,0.07316444
ARE,BULLY_RELATIONAL,0.8799185706727114,3,SCREADDIFF,0.048207503
ARE,BULLY_RELATIONAL,0.8799185706727114,4,ST207Q01HA,0.036100306
ARE,BULLY_RELATIONAL,0.8799185706727114,5,DISCLIMA,0.03595938
ARE,BULLY_RELATIONAL,0.8799185706727114,6,ST207Q03HA,0.034465145
ARE,BULLY_RELATIONAL,0.8799185706727114,7,PV1READ,0.03310082
ARE,BULLY_RELATIONAL,0.8799185706727114,8,EMOSUPS,0.03303136
ARE,BULLY_RELATIONAL,0.8799185706727114,9,PERCOOP,0.03129561
ARE,BULLY_RELATIONAL,0.8799185706727114,10,ST207Q02HA,0.02910933
ARG,BULLY_VERBAL,0.9303851923379028,1,BELONG,0.0766346
ARG,BULLY_VERBAL,0.9303851923379028,2,PERCOMP,0.06082429
ARG,BULLY_VERBAL,0.9303851923379028,3,ST207Q02HA,0.058376882
ARG,BULLY_VERBAL,0.9303851923379028,4,EMOSUPS,0.048232116
ARG,BULLY_VERBAL,0.9303851923379028,5,PERCOOP,0.044150945
ARG,BULLY_VERBAL,0.9303851923379028,6,ST207Q01HA,0.04197795
ARG,BULLY_VERBAL,0.9303851923379028,7,ST207Q05HA,0.041129004
ARG,BULLY_VERBAL,0.9303851923379028,8,ST206Q01HA,0.028293228
ARG,BULLY_VERBAL,0.9303851923379028,9,ST004D01T,0.02573559
ARG,BULLY_VERBAL,0.9303851923379028,10,ST207Q04HA,0.0253705
ARG,BULLY_THREAT,0.9639591209797439,1,ST207Q02HA,0.0802614
ARG,BULLY_THREAT,0.9639591209797439,2,EMOSUPS,0.07750756
ARG,BULLY_THREAT,0.9639591209797439,3,PERCOMP,0.046780046
ARG,BULLY_THREAT,0.9639591209797439,4,BELONG,0.045314554
ARG,BULLY_THREAT,0.9639591209797439,5,ST206Q01HA,0.039653808
ARG,BULLY_THREAT,0.9639591209797439,6,ST004D01T,0.03849653
ARG,BULLY_THREAT,0.9639591209797439,7,ST207Q01HA,0.035385963
ARG,BULLY_THREAT,0.9639591209797439,8,PERCOOP,0.0314095
ARG,BULLY_THREAT,0.9639591209797439,9,PV1READ,0.028142659
ARG,BULLY_THREAT,0.9639591209797439,10,ST207Q04HA,0.027879111
ARG,BULLY_PHYSICAL,0.9312404649167264,1,EMOSUPS,0.07554648
ARG,BULLY_PHYSICAL,0.9312404649167264,2,ST206Q01HA,0.074596
ARG,BULLY_PHYSICAL,0.9312404649167264,3,PERCOMP,0.06382553
ARG,BULLY_PHYSICAL,0.9312404649167264,4,ST207Q02HA,0.057939254
ARG,BULLY_PHYSICAL,0.9312404649167264,5,PERCOOP,0.035835806
ARG,BULLY_PHYSICAL,0.9312404649167264,6,BELONG,0.03556786
ARG,BULLY_PHYSICAL,0.9312404649167264,7,ST004D01T,0.03519526
ARG,BULLY_PHYSICAL,0.9312404649167264,8,ST207Q05HA,0.028831841
ARG,BULLY_PHYSICAL,0.9312404649167264,9,ST207Q01HA,0.027147647
ARG,BULLY_PHYSICAL,0.9312404649167264,10,ST207Q04HA,0.026782103
ARG,BULLY_RELATIONAL,0.9397625447193779,1,BELONG,0.07650759
ARG,BULLY_RELATIONAL,0.9397625447193779,2,ST206Q01HA,0.06266584
ARG,BULLY_RELATIONAL,0.9397625447193779,3,PERCOMP,0.051907044
ARG,BULLY_RELATIONAL,0.9397625447193779,4,ST207Q02HA,0.048707318
ARG,BULLY_RELATIONAL,0.9397625447193779,5,EMOSUPS,0.043880925
ARG,BULLY_RELATIONAL,0.9397625447193779,6,ST207Q01HA,0.03995583
ARG,BULLY_RELATIONAL,0.9397625447193779,7,PERCOOP,0.033855774
ARG,BULLY_RELATIONAL,0.9397625447193779,8,ST207Q04HA,0.03316687
ARG,BULLY_RELATIONAL,0.9397625447193779,9,ST207Q05HA,0.032219965
