Country,Cluster
ALB,1
ARE,1
ARG,0
AUS,0
AUT,0
BEL,0
BGR,1
BIH,0
BLR,1
BRA,1
BRN,1
CAN,0
CHE,0
CHL,0
COL,1
CRI,0
CZE,0
DEU,0
DNK,1
DOM,1
ESP,0
EST,0
FIN,0
FRA,0
GBR,0
GEO,0
GRC,0
HKG,0
HRV,1
HUN,1
IDN,1
IRL,1
ISL,0
ITA,0
JOR,0
JPN,0
KAZ,1
KOR,0
KSV,1
LTU,0
LUX,1
LVA,0
MAC,0
MAR,1
MDA,1
MEX,1
MLT,1
MNE,0
MYS,0
NLD,0
NOR,1
NZL,1
PAN,1
PER,1
PHL,1
POL,1
PRT,0
QAT,0
QAZ,1
QCI,0
QMR,1
QRT,1
ROU,1
RUS,0
SAU,1
SGP,0
SRB,1
SVK,0
SVN,1
SWE,0
TAP,0
THA,0
TUR,0
UKR,1
URY,1
USA,0
VNM,1
