Country,Cluster
ALB,1
ARE,0
ARG,1
AUS,1
AUT,0
BEL,0
BGR,1
BIH,0
BLR,0
BRA,0
BRN,1
CAN,1
CHE,0
CHL,1
COL,1
CRI,0
CZE,1
DEU,0
DNK,1
DOM,0
ESP,1
EST,1
FIN,1
FRA,0
GBR,1
GEO,0
GRC,1
HKG,1
HRV,0
HUN,1
IDN,0
IRL,0
ISL,0
ITA,1
JOR,0
JPN,1
KAZ,1
KOR,1
KSV,0
LTU,1
LUX,0
LVA,1
MAC,0
MAR,0
MDA,0
MEX,0
MLT,1
MNE,1
MYS,0
NLD,1
NOR,0
NZL,1
PAN,0
PER,1
PHL,1
POL,1
PRT,0
QAT,1
QAZ,0
QCI,0
QMR,1
QRT,1
ROU,0
RUS,0
SAU,1
SGP,0
SRB,1
SVK,1
SVN,0
SWE,0
TAP,0
THA,0
TUR,0
UKR,0
URY,0
USA,0
VNM,1
