Country,Cluster
ALB,1
ARE,3
ARG,2
AUS,2
AUT,2
BEL,2
BGR,1
BIH,1
BLR,0
BRA,0
BRN,1
CAN,0
CHE,0
CHL,0
COL,1
CRI,0
CZE,2
DEU,0
DNK,0
DOM,1
ESP,0
EST,0
FIN,0
FRA,1
GBR,0
GEO,3
GRC,0
HKG,1
HRV,0
HUN,3
IDN,2
IRL,0
ISL,0
ITA,2
JOR,1
JPN,1
KAZ,0
KOR,0
KSV,1
LTU,3
LUX,0
LVA,0
MAC,3
MAR,3
MDA,3
MEX,1
MLT,0
MNE,3
MYS,2
NLD,0
NOR,2
NZL,0
PAN,3
PER,1
PHL,3
POL,1
PRT,0
QAT,3
QAZ,3
QCI,2
QMR,1
QRT,1
ROU,1
RUS,3
SAU,2
SGP,2
SRB,3
SVK,3
SVN,0
SWE,0
TAP,3
THA,0
TUR,3
UKR,0
URY,0
USA,0
VNM,2
