Country,Cluster
ALB,0
ARE,0
ARG,0
AUS,0
AUT,1
BEL,1
BGR,0
BIH,2
BLR,2
BRA,1
BRN,0
CAN,0
CHE,0
CHL,0
COL,0
CRI,0
CZE,0
DEU,2
DNK,0
DOM,2
ESP,0
EST,0
FIN,0
FRA,2
GBR,0
GEO,2
GRC,1
HKG,1
HRV,0
HUN,1
IDN,0
IRL,0
ISL,0
ITA,1
JOR,0
JPN,1
KAZ,0
KOR,0
KSV,0
LTU,2
LUX,0
LVA,2
MAC,0
MAR,1
MDA,2
MEX,0
MLT,0
MNE,0
MYS,0
NLD,0
NOR,1
NZL,1
PAN,2
PER,1
PHL,2
POL,1
PRT,2
QAT,0
QAZ,2
QCI,1
QMR,1
QRT,2
ROU,0
RUS,0
SAU,0
SGP,1
SRB,2
SVK,0
SVN,1
SWE,1
TAP,0
THA,1
TUR,0
UKR,1
URY,2
USA,2
VNM,1
