Predictor,Countries_with_Rank1
BELONG,33
ST004D01T,10
PV1READ,9
EMOSUPS,7
ST207Q02HA,7
ST207Q01HA,3
ST207Q03HA,3
PERCOMP,1
PERCOOP,1
REPEAT,1
ST206Q01HA,1
ST207Q05HA,1
