Predictor,Countries_in_Top10
BELONG,76
PV1READ,65
ST004D01T,64
EMOSUPS,63
PERCOMP,51
ST207Q02HA,49
ST207Q03HA,47
ST206Q01HA,43
ST207Q04HA,38
DISCLIMA,36
ST207Q01HA,35
PERCOOP,33
ST207Q05HA,30
PV1SCIE,20
ATTLNACT,17
SCREADDIFF,16
PV1MATH,12
SWBP,10
REPEAT,9
ST184Q01HA,9
GRADE,5
METASUM,5
GFOFAIL,5
ST185Q01HA,4
COMPETE,3
UNDREM,3
EUDMO,3
METASPAM,3
WORKMAST,3
EDUSHORT,2
TEACHSUP,2
PERFEED,2
MASTGOAL,2
TEACHINT,2
RATCMP1,1
RATCMP2,1
STIMREAD,1
