Predictor,Countries_in_Top10
BELONG,77
EMOSUPS,66
PERCOMP,57
ST207Q02HA,57
ST207Q01HA,55
PERCOOP,50
ST207Q05HA,50
ST206Q01HA,45
ST207Q04HA,43
DISCLIMA,39
PV1READ,37
ST207Q03HA,33
ST004D01T,27
PV1MATH,20
GFOFAIL,19
SWBP,16
PV1SCIE,15
ST184Q01HA,10
SCREADDIFF,9
GRADE,9
REPEAT,9
ATTLNACT,8
TEACHINT,3
TEACHSUP,3
ST185Q01HA,3
ADAPTIVITY,2
METASUM,2
WORKMAST,2
UNDREM,2
BSMJ,1
SCREADCOMP,1
